"Data file recorded 2024/9/27  15:35:13"
" time  hx711, qdec3, qdec5, adc8,  adc9, adc10, adc11, adc12, adc13, adc14, adc15"
# Endonasal Branch 7/17/24 from main()
# LED0 initialized PA5
# led_init: success. Wait for LED blink
# Starting print thread
# printq access blocked by other thread. msg = # printq test message- hello from main.c 
# Clock cycles per second 96000000
 # End DAC init. Using PA4. DAC_MAX=4095 and DAC channel 1
# End ADC init PB0 PB1 PC0 PC1 PC2 PC3 PC4 PC5
# End PWM init. TIM1 PA8 PA9 PA10 PA11, TIM4 PB6 PB7 PB8 PB9, PWM13 PA6, PWM14 PA7
# End GP Output init. PA12 PC13
# End HX711 init TIM2 Ch4 PB2 as PD_SCK and PB5 as DOUT input
# End qdec inputs init. TIM3 PC6 PC7, TIM5 PA0 PA1 (32 bit)
# Starting heartbeat thread
# Starting uart input thread
# Starting hx711 thread
# Starting control thread
# Starting print_state thread
# Starting uart input thread: at tick 0.333432 
 # Starting print_state thread: at tick 32232598 (5000 ms PRNWAIT)
 #      t=,    hx711, qdec3, qdec5, adc8,  adc9, adc10, adc11, adc12, adc13, adc14, adc15  
    0.0000,        0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     0
 # Starting hx711_thread
 # Starting control thread: at tick 41618070 
 # Name                State     Priority   Stack         size     cycles
#      print_state   suspended       80 	20002ca0 	4096 	 35828
#   control_thread      queued       10 	20000e80 	4000 	 782049
#     hx711_thread      queued       90 	20001fa0 	1024 	 13981187
#     input_thread      queued       64 	20002480 	1952 	 294491
#        heartbeat   suspended       32 	20001ea0 	128 	 905
#     print_thread      queued       70 	20003d20 	1024 	 2308428
#          idle 00                   15 	20004620 	320 	 34392353
#             main      queued        0 	200041a0 	1024 	 3162946
# Name                State     Priority   Stack         size     cycles
#      print_state   suspended       80 	20002ca0 	4096 	 35828
#   control_thread      queued       10 	20000e80 	4000 	 805440
#     hx711_thread      queued       90 	20001fa0 	1024 	 14235693
#     input_thread      queued       64 	20002480 	1952 	 299247
#        heartbeat   suspended       32 	20001ea0 	128 	 905
#     print_thread      queued       70 	20003d20 	1024 	 2313524
#          idle 00                   15 	20004620 	320 	 34484999
#             main      queued        0 	200041a0 	1024 	 5660912
# STM32READY
 # uart_input_thread count 0 time 1.500030 :
 # cmd=PRNWAIT value=1000, 
 # PRNWAIT changed from 5000 to 1000 ms 
    5.3359,        0,     0,     0, 1032,  1050,  1061,  1028,  1067,  1102,  1088,  1091
    6.3359,        0,     0,     0, 1042,  1060,  1058,  1032,  1065,  1094,  1112,  1128
    7.3359,        0,     0,     0, 1102,  1411,  1163,  1081,  1101,  1133,  1196,  1167
    8.3371,        0,     0,     0, 1090,  1094,  1125,  1121,  1136,  1172,  1153,  1112
    9.3371,        0,     0,     0, 1128,  1408,  1187,  1118,  1137,  1168,  1163,  1141
   10.3372,        0,     0,     0, 1097,   926,  1087,  1101,  1136,  1160,  1132,  1120
   11.3373,        0,     0,     0, 1112,  1181,  1159,  1142,  1152,  1135,  1140,  1071
   12.3374,        0,     0,     0, 1124,  1117,  1113,  1122,  1145,  1166,  1142,  1158
   13.3387,        0,     0,     0, 1198,  1097,  1142,  1208,  1175,  1155,  1140,  1144
   14.3389,        0,     0,     0, 1198,  1152,  1144,  1186,  1154,  1131,  1144,  1126
   15.3391,        0,     0,     0, 1174,   968,  1134,  1200,  1149,  1158,  1140,  1126
   16.3393,        0,     0,     0, 1207,  1095,  1148,  1210,  1168,  1146,  1149,  1150
   17.3395,        0,     0,     0, 1218,  1159,  1152,  1175,  1155,  1118,  1130,  1141
   18.3397,        0,     0,     0, 1198,  1086,  1136,  1196,  1151,  1162,  1122,  1126
   19.3399,        0,     0,     0, 1183,   954,  1129,  1205,  1158,  1141,  1126,  1106
   20.3401,        0,     0,     0, 1271,  1486,  1261,  1248,  1186,  1158,  1174,  1159
 # uart_input_thread count 1 time 20.463428 :
 # cmd=PFRQ1 value=-3000, 
   21.3403,        0,     0,     0, 1224,  1175,  1166,  1201,  1160,  1148,  1159,  1132
 # uart_input_thread count 2 time 22.230726 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 3 time 22.330929 :
 # cmd=PFRQ1 value=-3000, 
   22.3406,        0,     0,     0, 1249,  1445,  1244,  1271,  1217,  1173,  1145,  1085
 # uart_input_thread count 4 time 22.366228 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 5 time 22.398230 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 6 time 22.432430 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 7 time 22.464422 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 8 time 22.497528 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 9 time 22.537224 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 10 time 22.590128 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 11 time 22.633127 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 12 time 22.731129 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 13 time 22.765427 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 14 time 22.804029 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 15 time 22.829525 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 16 time 22.861629 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 17 time 22.902431 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 18 time 22.930033 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 19 time 22.962025 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 20 time 22.996229 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 21 time 23.029327 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 22 time 23.062529 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 23 time 23.098928 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 24 time 23.133127 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 25 time 23.164030 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 26 time 23.198223 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 27 time 23.229134 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 28 time 23.267731 :
 # cmd=PFRQ1 value=-3000, 
   23.3420,        0,     0,     0, 1180,  1432,  1227,  1196,  1171,  1149,  1188,  1150
 # uart_input_thread count 29 time 23.529625 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 30 time 23.599026 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 31 time 23.633226 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 32 time 23.670729 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 33 time 23.697235 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 34 time 23.731430 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 35 time 23.834026 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 36 time 23.860523 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 37 time 23.894728 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 38 time 23.928928 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 39 time 23.963125 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 40 time 23.994030 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 41 time 24.027128 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 42 time 24.064629 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 43 time 24.095526 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 44 time 24.129723 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 45 time 24.162832 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 46 time 24.195929 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 47 time 24.231327 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 48 time 24.262232 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 49 time 24.297527 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 50 time 24.330629 :
 # cmd=PFRQ1 value=-3000, 
   24.3414,        0,     0,     0, 1173,   995,  1168,  1192,  1177,  1158,  1152,  1100
 # uart_input_thread count 51 time 24.364826 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 52 time 24.393528 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 53 time 24.429928 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 54 time 24.463026 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 55 time 24.760128 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 56 time 24.927423 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 57 time 24.960527 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 58 time 24.995829 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 59 time 25.030029 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 60 time 25.059830 :
 # cmd=PFRQ1 value=-3000, 
   25.3427,        0,     0,     0, 1080,  1095,  1108,  1108,  1139,  1150,  1143,  1147
 # uart_input_thread count 61 time 25.597029 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 62 time 25.627926 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 63 time 25.662125 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 64 time 25.698528 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 65 time 25.731627 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 66 time 25.762527 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 67 time 25.793427 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 68 time 25.833128 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 69 time 26.195126 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 70 time 26.227127 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 71 time 26.262430 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 72 time 26.294426 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 73 time 26.326529 :
 # cmd=PFRQ1 value=-3000, 
   26.3429,        0,     0,     0, 1088,  1119,  1121,  1107,  1133,  1152,  1131,  1136
 # uart_input_thread count 74 time 26.361830 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 75 time 26.394926 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 76 time 26.426922 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 77 time 26.463327 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 78 time 26.494230 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 79 time 26.532824 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 80 time 26.556030 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 81 time 26.590229 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 82 time 26.624430 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 83 time 26.658628 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 84 time 26.693928 :
